,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,655,36,61,25,24,9,11,17,118,44
automobile,21,794,11,16,7,6,9,7,28,101
bird,63,14,508,79,98,87,79,34,27,11
cat,27,26,63,382,105,211,94,45,16,31
deer,26,8,100,49,592,57,59,83,16,10
dog,14,8,59,149,87,566,39,58,7,13
frog,7,8,67,72,83,42,694,7,7,13
horse,14,6,54,41,83,91,15,661,4,31
ship,62,58,23,21,13,14,11,5,765,28
truck,38,153,19,12,17,10,16,23,43,669
