epoch,train_loss,train_acc,test_loss,test_acc
1,1.5996051990509033,0.4183,1.3922465545654297,0.4951
2,1.2989037341690064,0.53292,1.2380395221710205,0.5547
3,1.181405408859253,0.5794,1.1710970922470092,0.5807
4,1.1002275326538087,0.61042,1.1114661813735962,0.6038
5,1.0380705078125,0.63162,1.0808456642150879,0.6182
6,0.9851563070487976,0.6498,1.11706835231781,0.6077
7,0.9425052594184875,0.66658,1.0561112663269043,0.6306
8,0.9021292155647278,0.67996,1.0942546396255493,0.623
9,0.8650256525230408,0.6919,1.0896623579025269,0.6253
10,0.829474218788147,0.70682,1.0907037448883057,0.6326
11,0.8025639612007142,0.71704,1.1084046722412109,0.6314
12,0.7737607866287232,0.7243,1.0856211124420165,0.6365
13,0.7430026783561706,0.736,1.115979197883606,0.6298
14,0.7207434127807617,0.74632,1.122073943710327,0.6353
15,0.701208671836853,0.75062,1.1107322414398193,0.6296
16,0.672109204158783,0.76106,1.1354681169509888,0.6292
17,0.6535324656295777,0.76718,1.2036260509490966,0.6254
18,0.6325179490470886,0.77404,1.2111942539215088,0.6182
19,0.6153238829994202,0.78128,1.2007571426391601,0.6315
20,0.5933326333904266,0.7912,1.2391246852874755,0.6286
