,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,735,31,34,6,17,2,6,11,129,29
automobile,19,809,1,0,2,4,9,4,55,97
bird,121,14,472,39,146,39,64,57,31,17
cat,46,16,80,336,120,148,103,59,51,41
deer,39,8,62,46,655,10,56,87,28,9
dog,28,10,77,145,91,468,44,92,22,23
frog,11,15,41,39,63,12,768,10,23,18
horse,35,5,32,25,71,41,8,740,10,33
ship,55,30,7,10,3,1,5,6,863,20
truck,37,100,3,7,5,3,4,11,75,755
