,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,907,8,7,11,4,0,1,6,29,27
automobile,4,941,0,1,2,3,0,2,2,45
bird,15,1,906,25,26,10,5,5,2,5
cat,3,1,18,882,17,54,9,10,3,3
deer,3,1,12,19,930,6,5,22,1,1
dog,2,0,13,98,19,845,3,16,1,3
frog,5,1,28,51,21,6,878,3,4,3
horse,5,0,6,12,18,7,0,948,0,4
ship,20,11,5,6,1,0,0,1,946,10
truck,4,17,1,4,1,0,0,1,9,963
