,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck
airplane,934,4,5,13,2,1,2,5,25,9
automobile,7,952,0,4,1,3,1,0,3,29
bird,16,1,895,26,25,16,11,6,2,2
cat,5,1,20,854,19,67,15,13,4,2
deer,4,1,8,20,928,9,12,17,1,0
dog,4,0,9,72,19,881,4,10,0,1
frog,4,1,15,21,7,6,941,2,3,0
horse,7,0,7,12,19,13,0,939,0,3
ship,26,7,5,4,0,0,1,3,950,4
truck,4,29,1,5,1,0,0,1,10,949
